Unnamed: 0,player_name,teams_played_for,league,games,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain
1573,João Pedro,Cagliari,Serie_A,29,1502,5,5,2,4.360121802426875,1.821805310435593,3.598823026753962,0.2612589628617967,0.1091627682684443,0.2156418591264025,F M S,40,20,5,0,1.575820878148079,4.23942778352648
1574,Alejandro Rodriguez,Cesena,Serie_A,25,801,5,4,0,5.1266147792339325,0.4983766339719295,4.365315914154053,0.5760241324981946,0.0559973746035875,0.4904849341746126,F S,27,5,3,0,1.2836432103067636,5.382503006607294
1575,Nicola Sansone,Sassuolo,Serie_A,35,2528,5,5,4,3.633037405088544,4.290621948428452,3.633037405088544,0.1293407304026776,0.1527515725310762,0.1293407304026776,F M S,46,44,3,1,3.6002701204270124,9.388993894681334
1576,Antonio Cassano,Parma,Serie_A,19,1637,5,4,2,2.796377129852772,2.912595046684146,2.035078309476376,0.1537409539931273,0.1601304546130562,0.111885795878359,F S,23,39,1,0,4.029963282868266,7.724012695252895
1577,Maximiliano Moralez,Atalanta,Serie_A,30,2255,5,5,4,5.082917433232069,5.162681730464101,5.082917433232069,0.2028658842531646,0.206049381703667,0.2028658842531646,F M S,53,59,3,0,2.370030777528882,10.94061641022563
1578,Mateo Kovacic,Inter,Serie_A,35,2462,5,5,3,3.3099310863763094,4.301944140344858,3.3099310863763094,0.1209966684702956,0.1572603463164245,0.1209966684702956,F M S,41,62,3,1,9.524284334853292,14.824425488710403
1579,Nicolás López,Verona,Serie_A,24,971,5,5,2,2.6331420466303825,3.267444435507059,2.6331420466303825,0.2440605398524556,0.3028527283168232,0.2440605398524556,F M S,34,17,3,0,1.6316439770162106,6.424635984003544
1580,Pablo Daniel Osvaldo,Inter,Serie_A,12,573,5,5,2,3.114738676697016,0.8521089497953653,3.114738676697016,0.4892259701618349,0.1338391020620992,0.4892259701618349,F S,20,10,1,0,0.439426627010107,3.407503357157111
1582,Lorenzo De Silvestri,Sampdoria,Serie_A,33,2937,4,4,3,2.3385790530592203,1.689563199877739,2.3385790530592203,0.0716622794604459,0.0517741532138224,0.0716622794604459,D M,16,19,8,0,7.3107193652540445,8.227752717211843
1583,Luis Muriel,"Sampdoria,Udinese",Serie_A,27,1378,4,4,5,4.4641915820539,4.090577920898795,4.4641915820539,0.2915654879425624,0.2671640151530418,0.2915654879425624,F M S,49,35,3,0,3.867605515755713,10.59103519655764
1584,Levan Mchedlidze,Empoli,Serie_A,25,737,4,4,0,3.5448988070711493,0.9282642416656016,3.5448988070711493,0.4328913061552285,0.1133565559700192,0.4328913061552285,F S,28,12,3,0,1.6942172199487686,5.197720609605312
1585,Riccardo Meggiorini,Chievo,Serie_A,30,1902,4,4,4,4.161400906741619,2.1650298815220594,4.161400906741619,0.196911714830045,0.1024462089048293,0.196911714830045,F S,66,22,8,0,1.844232689589262,7.52851421199739
1586,Raffaele Palladino,Parma,Serie_A,22,1461,4,4,1,3.9436721242964263,0.8003143649548292,3.9436721242964263,0.2429366811681577,0.0493006795660059,0.2429366811681577,F S,28,12,1,0,1.8109638709574936,5.522099545225501
1587,Diego Perotti,Genoa,Serie_A,27,2312,4,2,5,4.791041789576411,6.9878330286592245,3.2684441190212965,0.1865024918087703,0.2720177217038625,0.1272318212421785,F M,41,54,5,0,8.074312461540103,13.531612200662494
1588,Alberto Gilardino,Fiorentina,Serie_A,14,790,4,4,2,3.3208478912711143,0.5125114545226097,3.3208478912711143,0.3783244433093674,0.0583873808949808,0.3783244433093674,F S,16,11,0,0,1.7040402628481388,4.689921677112579
1589,Luca Antonelli,"AC Milan,Genoa",Serie_A,31,2698,4,4,1,3.133779709227383,2.353432420641184,3.133779709227383,0.1045367582766732,0.0785058998731306,0.1045367582766732,D M S,18,26,6,0,4.226663108915091,5.891205314546824
1590,Simone Missiroli,Sassuolo,Serie_A,33,2660,4,4,4,1.8992842016741636,3.0158271472901106,1.8992842016741636,0.0642614955453664,0.1020392643819962,0.0642614955453664,M S,18,38,5,1,4.81063417904079,8.258437033742666
1591,Roberto Pereyra,Juventus,Serie_A,35,2282,4,4,3,3.5207453053444624,3.643728063441813,3.5207453053444624,0.1388549857497816,0.1437053136326744,0.1388549857497816,M S,31,43,2,0,6.745550418272615,12.153282443061473
1592,Stefano Okaka,Sampdoria,Serie_A,32,2384,4,4,2,8.046727885492146,2.638810705393553,8.046727885492146,0.3037774788986129,0.0996195316633472,0.3037774788986129,F S,50,28,6,0,2.9742342550307512,11.33389097172767
1593,Roberto Soriano,Sampdoria,Serie_A,33,2532,4,4,2,4.486289561726153,3.177462878637016,4.486289561726153,0.1594652687817352,0.1129429933164816,0.1594652687817352,M S,56,49,11,0,5.471827754750848,10.673489853739738
1594,Giampaolo Pazzini,AC Milan,Serie_A,26,786,4,1,0,5.832087069749832,0.2223962768912315,3.548190601170063,0.6677962293606678,0.0254652225447975,0.4062813665461904,F S,25,4,2,0,0.8189513273537159,4.173718448728323
1595,Danilo Avelar,Cagliari,Serie_A,31,2640,4,1,3,4.730475001037121,5.152361200191081,1.6852797158062458,0.1612661932171745,0.1756486772792413,0.0574527175843038,D M S,36,44,10,1,5.861734472215176,8.948932563886046
1596,Duje Cop,Cagliari,Serie_A,16,806,4,4,0,5.226103819906712,0.9494249103590846,5.226103819906712,0.5835599798903276,0.1060151885016347,0.5835599798903276,F S,26,12,1,0,1.5223681647330525,7.180722422897816
1597,Andrea Pirlo,Juventus,Serie_A,20,1619,4,4,5,1.2376452144235373,5.3923992626369,1.2376452144235373,0.0688005369352182,0.2997627755635089,0.0688005369352182,M S,25,44,0,0,6.091900870203972,7.740312993526459
1598,Mario Gomez,Fiorentina,Serie_A,20,1403,4,4,2,7.442642856389284,1.4119581803679466,6.681344080716372,0.4774325424626055,0.0905746516273094,0.4285965554272797,F S,40,12,3,0,0.4809638671576977,6.963617507368326
1599,Pedro Obiang,Sampdoria,Serie_A,34,2772,3,3,1,3.932110637426376,2.6871632747352123,3.932110637426376,0.1276659297865706,0.0872455608680263,0.1276659297865706,M S,30,30,12,0,4.873801488429308,9.53551653213799
