,player_name,minutes_played,goals,npg,assists,xG,xA,npxG,xG90,xA90,npxG90,position_x,shots,key_passes,yellow_cards,red_cards,xGBuildup,xGChain,market_value_in_eur,height_in_cm,age_in_months_2015,points_per_game,team_rank,player_performance_valuation_standardized
1,David Silva,2682,12,12,7,9.096987545490263,10.388413229957225,9.096987545490263,0.3052680384392706,0.3486044708039336,0.3052680384392706,M,66,92,8,0,16.633573447354138,29.14427815377712,50000.0,178.0,341.0,1.9276315789473684,13,11.325040855710744
2,Graziano Pellè,3291,12,12,2,18.616503284312785,4.481623747386038,18.616503284312785,0.5091113022145702,0.1225603577224987,0.5091113022145702,F S,123,43,6,0,5.598169405013323,24.785646935924888,100000.0,194.0,356.0,1.4473684210526316,143,7.807677698288421
3,Jakub Blaszczykowski,599,0,0,0,1.2101372759789228,0.8835856132209301,1.2101372759789228,0.1818236307814742,0.1327591071617424,0.1818236307814742,M S,7,15,0,0,2.6871454399079084,4.451464792713523,25000.0,176.0,351.0,1.959558823529412,18,6.198375024973318
4,Massimo Maccarone,2507,10,9,7,8.975992960855365,7.552496573887765,8.214694125577807,0.3222334928109225,0.2711307106700833,0.2949032593944964,F S,87,50,4,0,3.10627653170377,14.702128004282711,150000.0,180.0,426.0,1.1578947368421053,221,5.596763713605681
5,Emanuele Giaccherini,292,0,0,0,0.334447018802166,0.5553949195891619,0.334447018802166,0.1030829852472429,0.1711833656267964,0.1030829852472429,M S,8,10,2,0,0.334590857848525,0.9628255814313889,75000.0,167.0,358.0,1.0723684210526316,107,5.115847492816245
6,Franco Brienza,2513,8,5,4,6.41928849928081,5.028767028823495,4.135392053052783,0.2298989116336143,0.1800990977294526,0.1481039732490053,F M S,53,52,2,0,4.629649226553738,10.538085583597422,50000.0,172.0,432.0,0.7909090909090909,227,5.027081594066005
7,Yaya Touré,2358,10,8,1,7.109345279633999,3.2435781778767705,5.587007623165846,0.2713490564745801,0.1238006938120904,0.2132445657696887,M S,89,33,5,0,20.90326175838709,26.024327591061592,100000.0,188.0,382.0,1.9276315789473684,13,4.562412445464261
8,Daniel Didavi,742,4,4,0,2.7108106408268213,0.6329342257231474,2.7108106408268213,0.3288045251676737,0.0767709977292227,0.3288045251676737,F M S,32,11,3,0,1.2882695877924562,3.0397948808968067,200000.0,180.0,301.0,1.3161764705882353,73,3.803031195537979
9,Francesco Lodi,1647,2,2,1,1.2637033509090545,1.63316370267421,1.2637033509090545,0.0690548279185275,0.0892439181789185,0.0690548279185275,M S,26,26,3,0,2.8091101720929146,3.6070569194853306,25000.0,183.0,372.0,1.261061946902655,113,3.7912245613960884
10,Zé Castro,2419,0,0,3,0.1909514833241701,0.599226450547576,0.1909514833241701,0.0071044371637764,0.0222944938194633,0.0071044371637764,D,6,7,6,0,5.876859026961029,6.075108882971108,25000.0,183.0,386.0,1.1894736842105262,130,3.6733064699832747
11,Cyril Théréau,2476,10,10,0,6.998357839882374,1.6587732816115022,6.998357839882374,0.2543829586386969,0.0602946669406442,0.2543829586386969,F M S,50,24,3,0,4.885954619385302,11.675082703121006,200000.0,189.0,383.0,1.3940397350993377,51,3.2322111354161103
12,Pierre-Michel Lasogga,1862,4,4,0,5.359030761756003,2.131043825298548,5.359030761756003,0.2590294138335339,0.1030042665289308,0.2590294138335339,F S,66,14,2,0,1.3819412756711245,7.976528168655932,150000.0,189.0,279.0,1.2683823529411764,84,3.1095133654339238
13,Alberto Gilardino,790,4,4,2,3.3208478912711143,0.5125114545226097,3.3208478912711143,0.3783244433093674,0.0583873808949808,0.3783244433093674,F S,16,11,0,0,1.7040402628481388,4.689921677112579,200000.0,184.0,392.0,1.57,37,2.7918121929787016
14,Christian Gentner,2941,5,5,3,4.558577951043844,5.2775432374328375,4.558577951043844,0.1395008553532628,0.1615025132162378,0.1395008553532628,M,44,40,6,0,6.960417442955077,12.742471212521195,100000.0,189.0,355.0,1.3161764705882353,73,2.745005903940232
15,Emmanuel Badu,1871,1,1,1,2.045452943071723,0.9342925045639277,2.045452943071723,0.0983916434401149,0.0449419163071905,0.0983916434401149,M S,25,13,5,1,3.54291282966733,5.968104667961597,75000.0,173.0,291.0,1.3940397350993377,51,2.679082898471087
16,Nicolai Müller,2089,1,1,4,3.647579357028008,3.836670440621674,3.647579357028008,0.1571479857024991,0.1652945618266877,0.1571479857024991,F M S,25,26,7,0,3.3448442267253995,8.843421809375286,200000.0,173.0,330.0,1.2683823529411764,84,2.6467266392394886
17,Manuel Pucciarelli,2275,5,5,2,8.530193481594324,2.220867021009326,8.530193481594324,0.3374582036674677,0.0878584755564129,0.3374582036674677,F S,50,29,2,0,2.524867362342775,11.188450231216848,150000.0,174.0,285.0,1.1578947368421053,221,2.522468224328164
18,Shane Long,1522,5,5,5,4.035826779901981,2.735771756619215,4.035826779901981,0.2386494153687111,0.1617736255556697,0.2386494153687111,F M S,37,21,2,0,3.2859599888324738,9.551560491323473,250000.0,180.0,338.0,1.4473684210526316,143,2.379371904691209
19,Arouna Koné,611,1,1,1,1.128450907766819,0.7295572282746434,1.128450907766819,0.1662202646465036,0.1074634215134499,0.1662202646465036,F S,14,6,2,0,1.0684824958443642,2.423885926604271,150000.0,181.0,376.0,1.5230263157894737,46,2.365403580201784
20,Manucho,1596,5,5,1,6.828239690512419,1.7725390261039138,6.828239690512419,0.3850511103672416,0.0999552082389425,0.3850511103672416,F S,61,15,5,0,1.1964344158768654,8.958506487309933,100000.0,190.0,384.0,1.1894736842105262,130,2.2944242661737575
